dans les pathologies rénales , les techniques d&apos; irm ont pris une place de plus en plus importante , notamment en	association	avec un agent de contraste permettant l&apos; évaluation des différents états de la perfusion rénale .
de plus , la formulation de l&apos; indication doit également refléter le contexte clinique dans lequel gadovist a présenté la même précision diagnostique que l&apos; agent de comparaison , à savoir la localisation correcte d&apos; au moins une lésion maligne du foie ou du rein d&apos; un	patient	en particulier , en utilisant les images obtenues par résonance magnétique pré-contraste et post-contraste associées . « imagerie par résonance magnétique ( irm ) avec injection d&apos; agent de contraste chez des patients présentant une forte suspicion ou des signes d&apos; atteinte focale hépatique ou rénale obtenus par d&apos; autres tests diagnostiques ou par histopathologie , visant à localiser correctement les lésions malignes du foie ou du rein . »
l&apos; examen irm avec rehaussement du contraste peut débuter immédiatement après l&apos; injection , dans un délai dépendant des séquences d&apos; irm utilisées et du protocole d&apos;	examen	.
anti-arythmiques de	classe	iii ( amiodarone , sotalol ) .
il faut jeter toute solution injectable qui n&apos; a pas été utilisée lors d&apos; un	examen	.
titulaire de l&apos; autorisation de mise sur le	marche	
nom et adresse du titulaire de l&apos; autorisation de mise sur le	marche	
- si vous ou un membre de votre	famille	avez des antécédents d&apos; anomalie de la conduction électrique du
votre médecin décidera si l&apos;	examen	peut être réalisé ou non .
comment	conserver	gadovist
toute solution restante non utilisée après un	examen	doit être jetée conformément aux réglementations nationales en vigueur .
faites	attention	avec gadovist
« la gemcitabine est indiquée dans le traitement du cancer de la vessie localement avancé ou métastatique en	association	avec du cisplatine . »
l&apos; indication pour les cancers du poumon non à petites cellules est basée sur les données résultant des essais de phase ii et de phase iii. elles indiquaient que la gemcitabine était active dans le traitement des cancers du poumon non à petites cellules ( cpnpc ) et qu&apos; en complément de l&apos; activité de la gemcitabine , seule une majorité des données corrobore l&apos; activité et la sécurité de son	association	avec le cisplatine dans le traitement du cpnpc , et ce indépendamment des différents programmes et doses .
« la gemcitabine , en	association	avec le cisplatine , est indiquée comme traitement de première intention des patients atteints d&apos; un cancer du poumon non à petites cellules localement avancé ou métastatique .
le chmp a par conséquent considéré que le plus grand bénéfice de la gemcitabine est réalisé lorsqu&apos; il est administré dans le cadre de première et de seconde intention en	association	avec des taxanes et a adopté la formulation suivante :
« la gemcitabine , en	association	avec le paclitaxel , est indiquée pour le traitement des patients présentant un cancer du sein localement récurrent ou métastatique non opérable , ayant rechuté suite à une chimiothérapie adjuvante/néoadjuvante .
le titulaire de l&apos; autorisation de mise sur le marché a justifié l&apos; usage de la gemcitabine pour le cancer des ovaires à l&apos; aide d&apos; un certain nombre de directives , considérant que sur la base des bénéfices significatifs démontrés de la gemcitabine en	association	avec la carboplatine , du profil acceptable de toxicité et de la tolérance du traitement , cette association présente un rapport risque/bénéfice positif dans le traitement des patientes atteintes d&apos; un cancer des ovaires récurrent .
le titulaire de l&apos; autorisation de mise sur le marché a justifié l&apos; usage de la gemcitabine pour le cancer des ovaires à l&apos; aide d&apos; un certain nombre de directives , considérant que sur la base des bénéfices significatifs démontrés de la gemcitabine en association avec la carboplatine , du profil acceptable de toxicité et de la tolérance du traitement , cette	association	présente un rapport risque/bénéfice positif dans le traitement des patientes atteintes d&apos; un cancer des ovaires récurrent .
le chmp a analysé les informations concernant l&apos; usage de la gemcitabine pour le cancer des ovaires et est d&apos; avis que l&apos;	association	gemcitabine/carboplatine est une option en thérapie de seconde ligne pour les patientes présentant une maladie sensible au platine et une alternative pour les patientes connaissant une précédente toxicité paclitaxel/carboplatine . le chmp a par conséquent retenu l&apos; indication sur le cancer des ovaires dans les rcp harmonisés , avec la formulation suivante :
12 « la gemcitabine est indiquée pour le traitement des carcinomes ovariens épithéliaux localement avancés ou métastatiques , en	association	avec la carboplatine , chez les patientes qui rechutent après 6 mois sans récurrence suite à une thérapie de première intention à base de platine . »
pour la section 4.3 , la proposition du titulaire de l&apos; autorisation de mise sur le marché n&apos; a retenu que deux des 8 contre-indications existantes ( concernant l&apos; hypersensibilité et l&apos; allaitement ) et en a supprimé 6 ( insuffisance hépatique ou rénale , cisplatine pour les patients ayant une insuffisance rénale sévère , grossesse et allaitement ,	association	avec la fièvre jaune , usage pour les enfants et administration concomitante de la gemcitabine et de la radiothérapie ) .
